rule_id smarts
RR-01   ([#6&v4&H1:1](=[#8&v2&H0:2])-[#6&v4&H2:3]-[#6&v4&H3:4])>>([#6&v4&H2:1](-[#8&v2&H1:2])-[#6&v4&H1:3](-[#6&v4&H3:4])-[#8&v2&H1])
RR-02   ([#6&v4&H2:1](-[#8&v2&H1:2])-[#6&v4&H1:3](-[#6&v4&H3:4])-[#8&v2&H1:5])>>([#6&v4&H1:1](=[#8&v2&H0:2])-[#6&v4&H2:3]-[#6&v4&H3:4].[#8&v2&H2:5])
